CAMPUS,CAMPNAME,C_RATING,GRDSPAN,GRDTYPE
'101917105,GARFIELD EL,D,'PK - 04,E
'101917106,GENOA EL,C,'EE - 04,E
'101917107,GOLDEN ACRES EL,C,'PK - 04,E
'101917108,PEARL HALL EL,C,'PK - 04,E
'101917109,JESSUP EL,C,'PK - 04,E
'101917110,KRUSE EL,C,'PK - 04,E
'101917111,MEADOR ELEMENTARY,B,'EE - 04,E
'101917112,PARKS EL,C,'PK - 04,E
'101917113,POMEROY EL,B,'EE - 04,E
'101917114,RED BLUFF EL,B,'PK - 04,E
'101917115,RICHEY EL,D,'EE - 04,E
'101917116,L F SMITH ELEMENTARY,C,'EE - 04,E
'101917117,MAE SMYTHE EL,C,'PK - 04,E
'101917118,SOUTH HOUSTON EL,C,'PK - 04,E
'101917119,SOUTH SHAVER EL,C,'EE - 04,E
'101917120,WILLIAMS ELEMENTARY,C,'PK - 04,E
'101917122,MCMASTERS EL,C,'EE - 04,E
'101917123,STUCHBERY EL,C,'PK - 04,E
'101917124,ATKINSON EL,B,'KG - 04,E
'101917125,JENSEN EL,B,'PK - 04,E
'101917126,BURNETT ELEMENTARY,C,'EE - 04,E
'101917127,FRAZIER EL,B,'EE - 04,E
'101917128,TEAGUE EL,C,'PK - 04,E
'101917129,MOORE EL,A,'PK - 04,E
'101917130,YOUNG EL,C,'EE - 04,E
'101917131,SPARKS ELEMENTARY,D,'EE - 04,E
'101917132,TURNER EL,B,'EE - 04,E
'101917133,MORALES ELEMENTARY,B,'EE - 04,E
'101917134,MATTHYS EL,C,'PK - 04,E
'101917135,MORRIS MIDDLE,B,'05 - 06,M
'101917136,DE ZAVALA MIDDLE SCHOOL,C,'05 - 06,M
'101917137,LAURA WELCH BUSH EL,B,'PK - 04,E
'101917138,SOUTH BELT EL,B,'EE - 04,E
'101917139,CARTER LOMAX MIDDLE,B,'05 - 06,M
'101917140,MELILLO MIDDLE,B,'05 - 06,M
'101917141,EARNESTEEN MILSTEAD MIDDLE,B,'05 - 06,M
'101917142,RICK SCHNEIDER MIDDLE,C,'05 - 06,M
'101917143,BOBBY SHAW MIDDLE,C,'05 - 06,M
'101917144,KELLER MIDDLE,B,'05 - 06,M
'101917145,MARSHALL KENDRICK MIDDLE,B,'05 - 06,M
'101917146,NELDA SULLIVAN MIDDLE,B,'05 - 06,M
'101917147,FRED ROBERTS MIDDLE,B,'05 - 06,M
'101917148,THOMAS HANCOCK EL,F,'PK - 04,E
'101919001,SPRING H S,C,'02 - 12,B
'101919002,WESTFIELD H S,D,'09 - 12,S
'101919003,ANDY DEKANEY H S,D,'09 - 12,S
'101919018,CARL WUNSCHE SR H S,A,'09 - 12,S
'101919021,SPRING ACADEMY,A,'09 - 12,S
'101919022,RICHEY ACADEMY,Not Rated,'06 - 12,B
'101919043,EDWIN M WELLS MIDDLE,F,'06 - 08,M
'101919044,DUEITT MIDDLE,F,'06 - 08,M
'101919045,TWIN CREEKS MIDDLE,C,'06 - 08,M
'101919046,BAMMEL MIDDLE,F,'06 - 08,M
'101919047,STELLE CLAUGHTON MIDDLE,F,'06 - 08,M
'101919048,RICKEY C BAILEY MIDDLE,F,'06 - 08,M
'101919050,EDWARD ROBERSON MIDDLE,A,'06 - 08,M
'101919102,BAMMEL EL,D,'EE - 07,E
'101919103,PONDEROSA EL,B,'PK - 06,E
'101919104,JOHN WINSHIP EL,C,'PK - 05,E
'101919105,PAT REYNOLDS EL,C,'EE - 05,E
'101919106,MEYER EL,C,'EE - 08,E
'101919107,MILDRED JENKINS EL,D,'PK - 05,E
'101919108,PEARL M HIRSCH EL,D,'EE - 05,E
'101919109,ANDERSON EL,C,'EE - 06,E
'101919110,JOAN LINK EL,B,'EE - 05,E
'101919111,SMITH EL,C,'EE - 08,E
'101919112,BENEKE EL,B,'EE - 06,E
'101919114,DELORAS E THOMPSON EL,C,'PK - 06,E
'101919115,HERITAGE EL,B,'EE - 05,E
'101919116,CLARK INT,D,'KG - 07,E
'101919117,SALYERS EL,D,'EE - 07,E
'101919119,CHET BURCHETT EL,B,'EE - 06,E
'101919120,MILTON COOPER EL,B,'EE - 06,E
'101919121,GINGER MCNABB EL,A,'EE - 08,E
'101919122,NORTHGATE EL,B,'PK - 05,E
'101919123,DONNA LEWIS EL,B,'PK - 05,E
'101919124,CAROLEE BOOKER ELEMENTARY,C,'EE - 07,E
'101919125,HOYLAND EL,D,'PK - 08,E
'101919126,RALPH EICKENROHT EL,F,'EE - 05,E
'101919127,HELEN MAJOR EL,F,'EE - 08,E
'101919128,GLORIA MARSHALL EL,C,'EE - 05,E
'101919129,CLARK PRI,Not Rated,'EE - 05,E
'101920001,MEMORIAL H S,A,'09 - 12,S
'101920003,SPRING WOODS H S,C,'09 - 12,S
'101920005,NORTHBROOK H S,C,'09 - 12,S
'101920006,STRATFORD H S,B,'09 - 12,S
'101920010,HARRIS CO J J A E P,Not Rated,'10 - 11,S
'101920014,WESTCHESTER ACADEMY FOR INTERNATIO,A,'06 - 12,B
'101920016,ACADEMY OF CHOICE,C,'06 - 12,B
'101920018,SPRING BRANCH ACADEMIC INSTITUTE,A,'KG - 09,B
'101920041,LANDRUM MIDDLE,C,'05 - 08,M
'101920042,MEMORIAL MIDDLE,A,'06 - 08,M
'101920043,SPRING BRANCH MIDDLE,B,'06 - 08,M
'101920044,SPRING WOODS MIDDLE,D,'06 - 08,M
'101920045,SPRING FOREST MIDDLE,B,'06 - 08,M
'101920046,SPRING OAKS MIDDLE,F,'06 - 08,M
'101920047,NORTHBROOK MIDDLE,C,'06 - 08,M
'101920048,CORNERSTONE ACADEMY,A,'06 - 08,M
'101920101,BENDWOOD SCHOOL,Not Rated,'EE - EE,E
'101920102,BUNKER HILL EL,A,'KG - 05,E
'101920103,EDGEWOOD EL,B,'PK - 05,E
'101920104,FROSTWOOD EL,A,'KG - 05,E
'101920105,HOLLIBROOK EL,B,'PK - 05,E
'101920106,HOUSMAN EL,D,'KG - 05,E
'101920107,HUNTERS CREEK EL,A,'KG - 05,E
'101920108,MEADOW WOOD EL,B,'PK - 05,E
'101920109,MEMORIAL DRIVE EL,A,'PK - 05,E
'101920110,PINE SHADOWS EL,C,'KG - 05,E
'101920111,RIDGECREST EL,B,'KG - 05,E
'101920112,RUMMEL CREEK EL,A,'PK - 05,E
'101920113,SHADOW OAKS EL,C,'PK - 05,E
'101920114,SPRING BRANCH EL,F,'KG - 05,E
'101920115,VALLEY OAKS EL,A,'PK - 05,E
'101920116,WESTWOOD EL,D,'KG - 05,E
'101920117,WOODVIEW EL,D,'PK - 05,E
'101920118,WILCHESTER EL,A,'PK - 05,E
'101920119,SHERWOOD EL,C,'PK - 05,E
'101920120,SPRING SHADOW EL,D,'KG - 05,E
'101920121,NOTTINGHAM EL,A,'PK - 05,E
'101920122,TERRACE EL,D,'PK - 05,E
'101920123,THORNWOOD EL,F,'PK - 05,E
'101920124,CEDAR BROOK EL,B,'PK - 05,E
'101920125,TREASURE FOREST EL,F,'KG - 05,E
'101920126,BUFFALO CREEK EL,C,'KG - 05,E
'101920128,THE WILDCAT WAY SCHOOL,A,'EE - PK,E
'101920129,THE PANDA PATH SCHOOL,B,'PK - PK,E
'101920130,THE LION LANE SCHOOL,B,'EE - PK,E
'101920131,THE BEAR BLVD SCHOOL,A,'EE - PK,E
'101920132,THE TIGER TRAIL SCHOOL,C,'EE - PK,E
'101921001,TOMBALL H S,B,'09 - 12,S
'101921002,TOMBALL MEMORIAL H S,A,'09 - 12,S
'101921003,TOMBALL J J A E P CAMPUS,Not Rated,'09 - 10,S
'101921005,TOMBALL STAR ACADEMY,A,'09 - 10,S
'101921042,TOMBALL J H,A,'07 - 08,M
'101921043,WILLOW WOOD J H,A,'07 - 08,M
'101921044,CREEKSIDE PARK J H,A,'06 - 08,M
'101921102,DECKER PRAIRIE EL,B,'EE - 04,E
'101921103,LAKEWOOD EL,A,'EE - 04,E
'101921105,TOMBALL INT,B,'05 - 06,M
'101921107,WILLOW CREEK EL,B,'EE - 04,E
'101921108,TOMBALL EL,C,'PK - 04,E
'101921109,NORTHPOINTE INT,A,'05 - 06,M
'101921110,ROSEHILL EL,B,'EE - 04,E
'101921111,CANYON POINTE EL,B,'PK - 04,E
'101921112,CREEKSIDE FOREST EL,A,'KG - 05,E
'101921113,TIMBER CREEK EL,A,'KG - 05,E
'101921114,WILDWOOD EL,B,'EE - 04,E
'101921115,CREEKVIEW EL,A,'KG - 05,E
'101921116,OAKCREST INT,A,'05 - 06,M
'101924001,C E KING H S,B,'09 - 12,S
'101924010,SHELDON JJAEP,Not Rated,'05 - 11,B
'101924012,KASE ACADEMY,B,'11 - 12,S
'101924014,HIGH POINT EAST,Not Rated,'08 - 12,S
'101924041,C E KING MIDDLE,C,'06 - 08,M
'101924043,MICHAEL R NULL MIDDLE,C,'06 - 08,M
'101924102,ROYALWOOD EL,B,'01 - 05,E
'101924104,L E MONAHAN EL,D,'01 - 05,E
'101924107,STEPHANIE CRAVENS EARLY CHILDHOOD,B,'EE - KG,E
'101924108,SHELDON EL,C,'01 - 05,E
'101924109,H M CARROLL EL,C,'01 - 05,E
'101924110,SHELDON EARLY CHILDHOOD ACADEMY,C,'EE - KG,E
'101924111,GARRETT EL,F,'01 - 05,E
'101925001,HARGRAVE H S,B,'09 - 12,S
'101925004,EXCEL ACADEMY,Not Rated,'10 - 10,S
'101925041,HUFFMAN MIDDLE,C,'06 - 08,M
'101925103,HUFFMAN EL,C,'EE - 05,E
'101925104,FALCON RIDGE EL,C,'KG - 05,E
'102901103,GEORGE WASHINGTON CARVER EL,B,'PK - 08,E
'102902001,MARSHALL H S,C,'09 - 12,S
'102902041,MARSHALL J H,D,'06 - 08,M
'102902103,CROCKETT EL,C,'KG - 05,E
'102902107,SAM HOUSTON EL,A,'KG - 05,E
'102902108,WM B TRAVIS EL,C,'KG - 05,E
'102902110,WASHINGTON ECH CTR,A,'EE - PK,E
'102902116,PRICE T YOUNG EL,D,'KG - 05,E
'102903002,WASKOM H S,B,'09 - 12,S
'102903041,WASKOM MIDDLE,B,'06 - 08,M
'102903103,WASKOM EL,B,'PK - 05,E
'102904002,HALLSVILLE H S,B,'09 - 12,S
'102904010,TEXAS VIRTUAL ACADEMY AT HALLSVILL,D,'03 - 12,B
'102904041,HALLSVILLE J H,B,'06 - 08,M
'102904102,HALLSVILLE PRI,B,'PK - PK,E
'102904104,HALLSVILLE INT,B,'04 - 05,E
'102904107,HALLSVILLE EAST EL,B,'EE - 03,E
'102904108,HALLSVILLE NORTH EL,A,'KG - 03,E
'102905001,HARLETON H S,A,'09 - 12,S
'102905041,HARLETON J H,B,'06 - 08,M
'102905101,HARLETON EL,B,'PK - 05,E
'102906001,ELYSIAN FIELDS H S,B,'09 - 12,S
'102906041,ELYSIAN FIELDS MIDDLE,C,'06 - 08,M
'102906101,ELYSIAN FIELDS EL,C,'EE - 05,E
'103901001,CHANNING SCHOOL,B,'PK - 12,B
'103902001,HARTLEY SCHOOL,A,'PK - 12,B
'104901001,HASKELL H S,A,'09 - 12,S
'104901041,HASKELL J H,B,'06 - 08,M
'104901101,HASKELL EL,C,'EE - 05,E
'104903001,RULE SCHOOL,B,'PK - 12,B
'104907001,PAINT CREEK SCHOOL,B,'PK - 12,B
'105801001,KATHERINE ANNE PORTER SCHOOL,D,'09 - 12,S
'105802041,TEXAS PREPARATORY SCHOOL,F,'KG - 06,E
'105802101,TEXAS PREPARATORY SCHOOL - AUSTIN,F,'KG - 06,E
'105803001,KI CHARTER ACADEMY,Not Rated,'01 - 12,B
'105902001,SAN MARCOS H S,C,'09 - 12,S
'105902041,GOODNIGHT MIDDLE,D,'06 - 08,M
'105902043,MILLER MIDDLE,D,'06 - 08,M
'105902101,BOWIE EL,C,'KG - 05,E
'105902102,CROCKETT EL,B,'KG - 05,E
'105902103,DEZAVALA EL,C,'KG - 05,E
'105902105,TRAVIS EL,F,'KG - 05,E
'105902107,HERNANDEZ EL,C,'KG - 05,E
'105902108,MENDEZ EL,C,'KG - 05,E
'105902109,BONHAM PRE-K SCHOOL,B,'EE - PK,E
'105904001,DRIPPING SPRINGS H S,A,'09 - 12,S
'105904041,DRIPPING SPRINGS MIDDLE,B,'06 - 08,M
'105904042,SYCAMORE SPRINGS MIDDLE,A,'06 - 08,M
'105904101,DRIPPING SPRINGS EL,B,'EE - 05,E
'105904102,WALNUT SPRINGS EL,B,'EE - 05,E
'105904103,ROOSTER SPRINGS EL,B,'EE - 05,E
'105904104,SYCAMORE SPRINGS EL,B,'EE - 05,E
'105905001,WIMBERLEY H S,B,'09 - 12,S
'105905041,DANFORTH J H,B,'06 - 08,M
'105905101,JACOB'S WELL EL,B,'02 - 05,E
'105905102,SCUDDER PRI,B,'EE - 01,E
'105906001,JACK C HAYS H S,B,'09 - 12,S
'105906002,ALTER IMPACT CTR,Not Rated,'04 - 12,B
'105906004,LIVE OAK ACADEMY,B,'09 - 12,S
'105906005,LEHMAN H S,B,'09 - 12,S
'105906041,R C BARTON MIDDLE,A,'06 - 08,M
'105906043,ERIC DAHLSTROM MIDDLE,A,'06 - 08,M
'105906044,LAURA B WALLACE MIDDLE,C,'06 - 08,M
'105906045,ARMANDO CHAPA MIDDLE,C,'06 - 08,M
'105906046,D J RED SIMON MIDDLE,D,'06 - 08,M
'105906047,DR T C MCCORMICK JR MIDDLE,D,'06 - 08,M
'105906101,KYLE EL,C,'EE - 05,E
'105906103,TOM GREEN EL,B,'EE - 05,E
'105906106,BUDA EL,C,'EE - 05,E
'105906107,ELM GROVE EL,A,'KG - 05,E
'105906108,SUSIE FUENTES EL,B,'EE - 05,E
'105906109,HEMPHILL EL,C,'EE - 05,E
'105906110,TOBIAS EL,C,'EE - 05,E
'105906111,LAURA B NEGLEY EL,A,'EE - 05,E
'105906112,SCIENCE HALL EL,B,'PK - 05,E
'105906113,BLANCO VISTA EL,B,'PK - 05,E
'105906114,CAMINO REAL EL,B,'EE - 05,E
'105906115,CARPENTER HILL EL,B,'EE - 05,E
'105906116,RALPH PFLUGER EL,B,'EE - 05,E
'105906118,UHLAND EL,B,'EE - 05,E
'106901001,CANADIAN H S,A,'09 - 12,S
'106901041,CANADIAN MIDDLE,A,'06 - 08,M
'106901101,BAKER EL,B,'03 - 05,E
'106901103,CANADIAN EL,B,'EE - 02,E
'107901001,ATHENS H S,B,'09 - 12,S
'107901041,ATHENS MIDDLE,C,'06 - 08,M
'107901102,SOUTH ATHENS EL,B,'EE - 05,E
'107901103,CENTRAL ATHENS,D,'PK - 05,E
'107901104,BEL AIR EL,C,'PK - 05,E
'107902001,BROWNSBORO H S,B,'09 - 12,S
'107902041,BROWNSBORO J H,A,'07 - 08,M
'107902101,BROWNSBORO EL,D,'EE - 03,E
'107902102,CHANDLER INT,C,'04 - 06,E
'107902103,CHANDLER EL,C,'PK - 03,E
'107902104,BROWNSBORO INT,C,'04 - 06,E
'107904001,CROSS ROADS H S,A,'09 - 12,S
'107904041,CROSS ROADS J H,A,'06 - 08,M
'107904101,CROSS ROADS EL,B,'PK - 05,E
'107905001,EUSTACE H S,B,'09 - 12,S
'107905101,EUSTACE PRI,C,'PK - 02,E
'107905102,EUSTACE MIDDLE,B,'06 - 08,M
'107905103,EUSTACE INT,C,'03 - 05,E
'107906001,MALAKOFF H S,B,'09 - 12,S
'107906002,GATEWAY,Not Rated,'11 - 11,S
'107906003,MALAKOFF ALTERNATIVE PROGRAM (MAP),Not Rated,'09 - 10,S
'107906041,MALAKOFF MIDDLE,B,'06 - 08,M
'107906102,MALAKOFF EL,B,'EE - 05,E
'107906104,TOOL EL,B,'PK - 05,E
'107907001,TRINIDAD SCHOOL,Data Integrity Issues,'PK - 12,B
'107908101,MURCHISON EL,D,'PK - 08,E
'107910001,LAPOYNOR H S,B,'09 - 12,S
'107910041,LAPOYNOR J H,B,'06 - 08,M
'107910101,LAPOYNOR EL,C,'PK - 05,E
'108802101,HORIZON MONTESSORI,C,'PK - 08,E
'108802102,HORIZON MONTESSORI II,B,'PK - 08,E
'108802103,HORIZON MONTESSORI III,C,'PK - 08,E
'108804001,MIDVALLEY ACADEMY-MERCEDES CHARTER,A,'09 - 12,S
'108804002,MIDVALLEY ACADEMY-MCALLEN CHARTER,A,'09 - 12,S
'108804003,MIDVALLEY ACADEMY-SAN BENITO CHART,C,'09 - 12,S
'108804004,MIDVALLEY ACADEMY - BROWNSVILLE CH,B,'09 - 12,S
'108807001,IDEA COLLEGE PREP,A,'06 - 12,B
'108807002,IDEA QUEST COLLEGE PREPARATORY,A,'06 - 12,B
'108807003,IDEA FRONTIER COLLEGE PREPARATORY,A,'06 - 12,B
'108807004,IDEA COLLEGE PREPARATORY MISSION,A,'06 - 12,B
'108807005,IDEA COLLEGE PREPARATORY SAN BENIT,A,'06 - 12,B
'108807006,IDEA COLLEGE PREPARATORY SAN JUAN,A,'06 - 12,B
'108807007,IDEA COLLEGE PREPARATORY ALAMO,A,'06 - 12,B
'108807008,IDEA COLLEGE PREPARATORY PHARR,B,'06 - 12,B
'108807009,IDEA EDINBURG COLLEGE PREPARATORY,A,'06 - 12,B
'108807010,IDEA COLLEGE PREP WESLACO,A,'06 - 12,B
'108807011,IDEA MCALLEN COLLEGE PREPARATORY,A,'06 - 12,B
'108807012,IDEA BROWNSVILLE COLLEGE PREPARATO,B,'06 - 12,B
'108807013,IDEA WESLACO PIKE COLLEGE PREPARAT,A,'06 - 10,B
'108807014,IDEA RIVERVIEW COLLEGE PREPARATORY,A,'06 - 09,M
'108807015,IDEA NORTH MISSION COLLEGE PREPARA,B,'06 - 09,M
'108807016,IDEA RIO GRANDE CITY COLLEGE PREPA,C,'06 - 07,M
'108807017,IDEA TRES LAGOS COLLEGE PREPARATOR,B,'06 - 07,M
'108807018,IDEA TOROS COLLEGE PREPARATORY,A,'06 - 12,B
'108807019,IDEA ELSA COLLEGE PREPARATORY,B,'06 - 06,M
'108807020,IDEA CARVER COLLEGE PREPARATORY,A,'06 - 12,B
'108807021,IDEA SOUTH FLORES COLLEGE PREPARAT,A,'06 - 11,B
'108807022,IDEA MONTERREY PARK COLLEGE PREPAR,B,'06 - 10,B
'108807023,IDEA WALZEM COLLEGE PREPARATORY,B,'06 - 10,B
'108807024,IDEA EASTSIDE COLLEGE PREPARATORY,B,'06 - 09,M
'108807025,IDEA JUDSON COLLEGE PREPARATORY,B,'06 - 08,M
'108807026,IDEA MAYS COLLEGE PREPARATORY,A,'06 - 08,M
'108807027,IDEA NAJIM COLLEGE PREPARATORY,D,'06 - 08,M
'108807028,IDEA BRACKENRIDGE COLLEGE PREPARAT,B,'06 - 07,M
'108807029,IDEA EWING HALSELL COLLEGE PREPARA,B,'06 - 07,M
'108807030,IDEA INGRAM HILLS COLLEGE PREPARAT,B,'06 - 06,M
'108807035,IDEA MONTOPOLIS COLLEGE PREPARATOR,A,'06 - 12,B
'108807036,IDEA RUNDBERG COLLEGE PREPARATORY,B,'06 - 09,M
'108807037,IDEA BLUFF SPRINGS COLLEGE PREPARA,B,'06 - 08,M
'108807038,IDEA PFLUGERVILLE COLLEGE PREPARAT,B,'06 - 06,M
'108807039,IDEA KYLE COLLEGE PREPARATORY,B,'06 - 06,M
'108807040,IDEA RIO VISTA COLLEGE PREPARATORY,B,'06 - 06,M
'108807083,IDEA OWASSA COLLEGE PREPARATORY,B,'06 - 06,M
'108807084,IDEA EDGEMERE COLLEGE PREPARATORY,A,'06 - 06,M
'108807101,IDEA ACADEMY,B,'PK - 05,E
'108807102,IDEA QUEST ACADEMY,B,'PK - 05,E
'108807103,IDEA FRONTIER ACADEMY,C,'PK - 05,E
'108807104,IDEA ACADEMY MISSION,B,'PK - 05,E
'108807105,IDEA ACADEMY SAN BENITO,B,'PK - 05,E
'108807106,IDEA ACADEMY SAN JUAN,B,'PK - 05,E
'108807107,IDEA ACADEMY ALAMO,B,'PK - 05,E
'108807108,IDEA ACADEMY PHARR,B,'PK - 05,E
'108807109,IDEA EDINBURG ACADEMY,B,'PK - 05,E
'108807110,IDEA ACADEMY WESLACO,B,'KG - 05,E
'108807111,IDEA MCALLEN ACADEMY,A,'PK - 05,E
'108807112,IDEA BROWNSVILLE ACADEMY,B,'KG - 05,E
'108807113,IDEA WESLACO PIKE ACADEMY,A,'PK - 05,E
'108807114,IDEA RIVERVIEW ACADEMY,B,'PK - 04,E
'108807115,IDEA NORTH MISSION ACADEMY,B,'PK - 04,E
'108807116,IDEA RIO GRANDE CITY ACADEMY,B,'PK - 05,E
'108807117,IDEA TRES LAGOS ACADEMY,Not Rated,'PK - 02,E
'108807119,IDEA ELSA ACADEMY,Not Rated,'PK - 01,E
'108807120,IDEA CARVER ACADEMY,A,'KG - 05,E
'108807121,IDEA SOUTH FLORES ACADEMY,A,'PK - 05,E
'108807122,IDEA MONTERREY PARK ACADEMY,B,'KG - 05,E
'108807123,IDEA WALZEM ACADEMY,B,'PK - 05,E
'108807124,IDEA EASTSIDE ACADEMY,C,'KG - 05,E
'108807125,IDEA JUDSON ACADEMY,C,'KG - 04,E
'108807126,IDEA MAYS ACADEMY,B,'KG - 04,E
'108807127,IDEA NAJIM ACADEMY,C,'PK - 03,E
'108807128,IDEA BRACKENRIDGE ACADEMY,Not Rated,'PK - 02,E
'108807129,IDEA EWING HALSELL ACADEMY,Not Rated,'PK - 02,E
'108807130,IDEA INGRAM HILLS ACADEMY,Not Rated,'PK - 01,E
'108807135,IDEA MONTOPOLIS ACADEMY,B,'KG - 05,E
'108807136,IDEA RUNDBERG ACADEMY,B,'KG - 05,E
'108807137,IDEA BLUFF SPRINGS ACADEMY,D,'KG - 04,E
'108807138,IDEA PFLUGERVILLE ACADEMY,Not Rated,'KG - 02,E
'108807139,IDEA KYLE ACADEMY,Not Rated,'KG - 02,E
'108807140,IDEA RIO VISTA ACADEMY,Not Rated,'PK - 02,E
'108807183,IDEA OWASSA ACADEMY,Not Rated,'PK - 01,E
'108807184,IDEA EDGEMERE ACADEMY,Not Rated,'PK - 01,E
'108808101,VANGUARD REMBRANDT,A,'PK - 12,B
'108808103,VANGUARD PICASSO,A,'PK - 05,E
'108808104,VANGUARD MOZART,B,'PK - 11,B
'108808105,VANGUARD BEETHOVEN,B,'PK - 08,E
'108809001,EXCELLENCE IN LEADERSHIP ACADEMY,B,'PK - 08,E
'108902001,DONNA H S,B,'09 - 12,S
'108902003,HIDALGO CO J J A E P,Not Rated,'10 - 10,S
'108902006,3D ACADEMY,D,'09 - 12,S
'108902007,DONNA NORTH H S,B,'09 - 12,S
'108902045,A P SOLIS MIDDLE,B,'06 - 08,M
'108902046,VETERANS MIDDLE,D,'06 - 08,M
'108902047,DORA M SAUCEDA MIDDLE,C,'06 - 08,M
'108902048,W A TODD MIDDLE,C,'06 - 08,M
'108902102,GUZMAN EL,C,'EE - 05,E
'108902103,T PRICE EL,D,'PK - 05,E
'108902104,A M OCHOA EL,D,'PK - 05,E
'108902105,RUNN EL,C,'PK - 05,E
'108902106,C STAINKE EL,B,'EE - 05,E
'108902109,J W CACERES EL,C,'PK - 05,E
'108902111,M RIVAS EL,C,'EE - 05,E
'108902112,CAPT D SALINAS II EL,C,'PK - 05,E
'108902113,PATRICIA S GARZA EL,F,'PK - 05,E
'108902114,MARIA ALICIA P MUNOZ EL,B,'EE - 05,E
'108902115,LE NOIR EL,B,'PK - 05,E
'108902116,DANIEL SINGLETERRY SR,C,'EE - 05,E
'108902117,ELOY GARZA SALAZAR EL,C,'PK - 05,E
'108902118,JULIAN S ADAME,B,'PK - 05,E
'108903001,EDCOUCH-ELSA H S,B,'09 - 12,S
'108903004,EDCOUCH-ELSA H S ACADEMY,B,'09 - 12,S
'108903041,CARLOS TRUAN J H,C,'06 - 08,M
'108903102,SANTIAGO GARCIA EL,B,'01 - 05,E
'108903103,KENNEDY EL,C,'01 - 05,E
'108903104,RUBEN C RODRIGUEZ EL,C,'01 - 05,E
'108903105,L B J EL,B,'01 - 05,E
'108903106,JORGE R GUTIERREZ EARLY CHILDHOOD,B,'PK - KG,E
'108904001,EDINBURG H S,B,'09 - 12,S
'108904002,ECONOMEDES H S,B,'09 - 12,S
'108904003,EDINBURG NORTH H S,B,'09 - 12,S
'108904006,ROBERT R VELA H S,A,'09 - 12,S
'108904039,J J A E P,Not Rated,'09 - 09,S
'108904040,JUVENILE DETENTION CTR,Not Rated,'06 - 11,B
'108904043,B L GARZA MIDDLE,B,'06 - 08,M
'108904044,SOUTH MIDDLE,B,'06 - 08,M
'108904045,MEMORIAL MIDDLE,B,'06 - 08,M
'108904046,FRANCISCO BARRIENTES MIDDLE,B,'06 - 08,M
'108904047,BETTY HARWELL MIDDLE,D,'06 - 08,M
'108904048,ELIAS LONGORIA SR MIDDLE,B,'06 - 08,M
'108904101,AUSTIN ELEM,A,'EE - 05,E
'108904102,BREWSTER EL,B,'PK - 08,E
'108904103,HARGILL EL,B,'PK - 05,E
'108904104,BETTS EL,B,'PK - 05,E
'108904105,JEFFERSON ELEM,A,'PK - 05,E
'108904106,TREVINO EL,A,'PK - 05,E
'108904107,LEE EL,B,'EE - 05,E
'108904108,LINCOLN EL,B,'PK - 05,E
'108904109,GUERRA EL,B,'PK - 05,E
'108904110,ZAVALA EL,A,'PK - 05,E
'108904111,TRAVIS EL,B,'PK - 05,E
'108904112,FREDDY GONZALEZ EL,B,'PK - 05,E
'108904113,L B JOHNSON EL,B,'PK - 05,E
'108904114,CANTERBURY EL,A,'EE - 05,E
'108904115,MONTE CRISTO EL,B,'PK - 05,E
'108904116,ESCANDON EL,A,'PK - 05,E
'108904117,DE LA VINA ELEM,A,'PK - 05,E
'108904118,SAN CARLOS EL,B,'PK - 05,E
'108904119,TRUMAN EL,A,'PK - 05,E
'108904120,EISENHOWER EL,B,'PK - 05,E
'108904121,JOHN F KENNEDY EL,B,'PK - 05,E
'108904122,CANO-GONZALEZ EL,A,'PK - 05,E
'108904123,CAVAZOS EL,B,'PK - 05,E
'108904124,VILLARREAL EL,B,'EE - 05,E
'108904125,CARMEN V AVILA EL,B,'PK - 05,E
'108904126,ANNE L MAGEE EL,B,'PK - 05,E
'108904127,DR THOMAS ESPARZA EL,A,'PK - 05,E
'108904128,DR KAY TEER CRAWFORD EL,A,'PK - 05,E
'108904129,ALFONSO RAMIREZ EL,A,'PK - 05,E
'108904130,R C FLORES-MARK A ZAPATA EL,A,'PK - 05,E
'108904131,MACARIA DELA GARZA GORENA EL,A,'PK - 05,E
'108904132,EARLY CHILDHOOD,B,'PK - PK,E
'108905001,HIDALGO H S,B,'09 - 12,S
'108905002,HIDALGO ACADEMY,D,'09 - 12,S
'108905041,DIAZ J H,B,'06 - 08,M
'108905101,HIDALGO EL,A,'EE - 05,E
'108905102,JC KELLY EL,A,'PK - 05,E
'108905103,DR ALEJO SALINAS JR EL,A,'PK - 05,E
'108905104,HIDALGO PARK EL,A,'PK - 05,E
'108905106,HIDALGO EARLY START ACADEMY,A,'EE - PK,E
'108906001,MCALLEN H S,B,'09 - 12,S
'108906002,MEMORIAL H S,B,'09 - 12,S
'108906005,INSTR/GUID CENTER,Not Rated,'06 - 12,B
'108906006,ROWE H S,A,'09 - 12,S
'108906007,LAMAR ACADEMY,A,'09 - 12,S
'108906009,SOUTHWEST KEY PROGRAM,Not Rated,'11 - 11,S
'108906011,ACHIEVE H S,A,'09 - 12,S
'108906042,TRAVIS MIDDLE,C,'06 - 08,M
'108906044,BROWN MIDDLE,B,'06 - 08,M
'108906045,MORRIS MIDDLE,A,'06 - 08,M
'108906046,DE LEON MIDDLE,B,'06 - 08,M
'108906047,CATHEY MIDDLE,A,'06 - 08,M
'108906048,MICHAEL E FOSSUM MIDDLE,B,'06 - 08,M
'108906101,ALVAREZ EL,B,'PK - 05,E
'108906103,BONHAM EL,C,'PK - 05,E
